recipe,ingredient,quantity,r_quantity,r_measurement_type,description,notes,optional
1,1,2,,,medium,,TRUE
1,2,2,,,,,TRUE
1,3,2,,,medium,,TRUE
1,4,2,,,sticks,,TRUE
1,5,2,,,red,,TRUE
1,6,1,2,Tablespoon,,,FALSE
1,7,1,1,Teaspoon,,,TRUE
1,8,1,1,Teaspoon,,,TRUE
1,9,1,1,Teaspoon,,,TRUE
1,10,400,,,,,TRUE
1,11,400,,,,,TRUE
1,12,800,,,chopped,,FALSE
1,13,500,,,,,FALSE
1,14,15,,,,,TRUE
1,15,1,2,Tablespoon,,,TRUE
2,16,1000,,,,,FALSE
2,17,2,,,,,TRUE
2,18,75,,,,,FALSE
2,19,1,0.33,Teaspoon,fresh,,TRUE
2,20,1,0.33,Teaspoon,fresh,,TRUE
2,6,1,2,Tablespoon,extra virgin,,FALSE
2,21,1000,,,organic,,FALSE
2,22,125,,,,plus extra to serve,FALSE
2,7,1,0.5,Tablespoon,,,TRUE
2,23,1,,,,,TRUE
3,24,200,,,dried,,FALSE
3,6,1,2,Teaspoon,,,FALSE
3,25,600,,,,trimmed,FALSE
3,26,80,,,,chopped,FALSE
3,2,4,,,,finely chopped,TRUE
3,27,250,,,packet,,FALSE
3,28,1,0.25,Teaspoon,pinch of dried,plus extra to serve,TRUE
3,29,1,0.33,Cup,finely chopped fresh continental,leaves,TRUE
3,30,50,,,finely shredded,to serve,TRUE
4,31,300,,,firm,,FALSE
4,32,450,,,fresh wide,,FALSE
4,33,2,,,,,FALSE
4,34,1,1.33,Cup,,,FALSE
4,35,1,,,bunch,"chopped, stems halved",TRUE
4,2,3,,,,crushed,TRUE
4,36,1,4,Tablespoon,light and dark,2 of each,FALSE
4,37,1,2,Tablespoon,,,TRUE
4,38,1,,,,lightly beaten,FALSE
5,34,1,1.5,Tablespoon,,,FALSE
5,39,500,,,lean beef rump,cut accross the grain into thin strips,FALSE
5,1,1,,,,"halved, thinly sliced",TRUE
5,5,1,,,large,"cut into short, thin strips",TRUE
5,40,125,,,packet,halved lengthways,TRUE
5,41,1,,,bunch,cut into 4cm lengths,TRUE
5,122,1,1,Tablespoon,,,TRUE
5,42,1,2,Tablespoon,,,FALSE
5,36,1,1.5,Tablespoon,,,TRUE
5,2,2,,,,crushed,TRUE
